index,scenario,window,min,max,mean
unserved_requests,normal,100,0.0,0.5,0.07
unserved_requests,driver_strike,100,0.0,0.92,0.19
unserved_requests,progressive_greedy,100,0.0,0.33,0.09
unserved_requests,ride_length,100,0.0,0.33,0.06
overhead,normal,100,0.0,2.57,1.68
overhead,driver_strike,100,0.0,3.43,1.71
overhead,progressive_greedy,100,0.0,3.07,1.73
overhead,ride_length,100,0.0,2.75,1.64
price_fluctuation,normal,100,0.0,1.92,1.22
price_fluctuation,driver_strike,100,0.0,2.38,1.21
price_fluctuation,progressive_greedy,100,0.0,3.04,1.26
price_fluctuation,ride_length,100,0.0,2.24,1.21
unserved_requests,normal,200,0.0,0.19,0.07
unserved_requests,driver_strike,200,0.0,0.81,0.19
unserved_requests,progressive_greedy,200,0.0,0.21,0.09
unserved_requests,ride_length,200,0.0,0.25,0.06
overhead,normal,200,0.0,2.31,1.69
overhead,driver_strike,200,0.0,2.82,1.73
overhead,progressive_greedy,200,0.0,2.58,1.71
overhead,ride_length,200,0.0,2.38,1.63
price_fluctuation,normal,200,0.0,1.64,1.23
price_fluctuation,driver_strike,200,0.0,2.08,1.22
price_fluctuation,progressive_greedy,200,0.0,2.08,1.25
price_fluctuation,ride_length,200,0.0,1.76,1.2
unserved_requests,normal,500,0.0,0.12,0.06
unserved_requests,driver_strike,500,0.0,0.65,0.17
unserved_requests,progressive_greedy,500,0.0,0.17,0.08
unserved_requests,ride_length,500,0.0,0.14,0.06
overhead,normal,500,0.0,2.09,1.66
overhead,driver_strike,500,0.0,2.48,1.71
overhead,progressive_greedy,500,0.0,2.31,1.7
overhead,ride_length,500,0.0,2.04,1.61
price_fluctuation,normal,500,0.0,1.49,1.2
price_fluctuation,driver_strike,500,0.0,1.8,1.21
price_fluctuation,progressive_greedy,500,0.0,1.73,1.24
price_fluctuation,ride_length,500,0.0,1.55,1.19
